Efficiency vs Mass flow
Mass flow[kg/s],Polytropic efficiency
Design point
0.23000000,0.70423000
10000[rpm]
0.02590000,0.64811000
0.02690000,0.65231000
0.02790000,0.65581000
0.02900000,0.65863000
0.03000000,0.66079000
0.03100000,0.66227000
0.03210000,0.66306000
0.03310000,0.66326000
0.03410000,0.66296000
0.03510000,0.66195000
0.03620000,0.65974000
0.03720000,0.65589000
0.03820000,0.65017000
0.03930000,0.64218000
0.04030000,0.63152000
0.04130000,0.61778000
0.04240000,0.60050000
0.04340000,0.57916000
0.04440000,0.55309000
0.04550000,0.52145000
0.04650000,0.48314000
0.04750000,0.43662000
0.04860000,0.37966000
0.04960000,0.30870000
0.05060000,0.21768000
15000[rpm]
0.03920000,0.65035000
0.04080000,0.65449000
0.04230000,0.65794000
0.04390000,0.66073000
0.04540000,0.66286000
0.04700000,0.66434000
0.04850000,0.66513000
0.05000000,0.66533000
0.05160000,0.66505000
0.05310000,0.66408000
0.05470000,0.66195000
0.05620000,0.65822000
0.05780000,0.65263000
0.05930000,0.64481000
0.06080000,0.63436000
0.06240000,0.62086000
0.06390000,0.60385000
0.06550000,0.58280000
0.06700000,0.55706000
0.06860000,0.52579000
0.07010000,0.48788000
0.07170000,0.44181000
0.07320000,0.38533000
0.07470000,0.31492000
0.07630000,0.22450000
20000[rpm]
0.05310000,0.65380000
0.05520000,0.65785000
0.05720000,0.66123000
0.05930000,0.66397000
0.06130000,0.66606000
0.06340000,0.66752000
0.06540000,0.66831000
0.06750000,0.66852000
0.06950000,0.66828000
0.07160000,0.66738000
0.07360000,0.66536000
0.07570000,0.66180000
0.07770000,0.65642000
0.07970000,0.64887000
0.08180000,0.63874000
0.08380000,0.62560000
0.08590000,0.60901000
0.08790000,0.58844000
0.09000000,0.56323000
0.09200000,0.53254000
0.09410000,0.49527000
0.09610000,0.44992000
0.09820000,0.39424000
0.10020000,0.32473000
0.10230000,0.23534000
25000[rpm]
0.06820000,0.65904000
0.07080000,0.66292000
0.07330000,0.66619000
0.07580000,0.66884000
0.07830000,0.67089000
0.08090000,0.67234000
0.08340000,0.67314000
0.08590000,0.67340000
0.08840000,0.67322000
0.09100000,0.67246000
0.09350000,0.67070000
0.09600000,0.66749000
0.09850000,0.66258000
0.10110000,0.65559000
0.10360000,0.64613000
0.10610000,0.63376000
0.10860000,0.61804000
0.11120000,0.59845000
0.11370000,0.57433000
0.11620000,0.54485000
0.11870000,0.50892000
0.12130000,0.46503000
0.12380000,0.41097000
0.12630000,0.34323000
0.12880000,0.25577000
30000[rpm]
0.08530000,0.66619000
0.08830000,0.66986000
0.09120000,0.67297000
0.09420000,0.67552000
0.09710000,0.67751000
0.10010000,0.67895000
0.10300000,0.67981000
0.10600000,0.68014000
0.10890000,0.68005000
0.11190000,0.67950000
0.11480000,0.67819000
0.11780000,0.67557000
0.12070000,0.67140000
0.12370000,0.66531000
0.12670000,0.65687000
0.12960000,0.64565000
0.13260000,0.63118000
0.13550000,0.61293000
0.13850000,0.59024000
0.14140000,0.56230000
0.14440000,0.52837000
0.14730000,0.48692000
0.15030000,0.43559000
0.15320000,0.37191000
0.15620000,0.28956000
35000[rpm]
0.10510000,0.67372000
0.10830000,0.67706000
0.11160000,0.67993000
0.11490000,0.68233000
0.11820000,0.68427000
0.12150000,0.68574000
0.12470000,0.68673000
0.12800000,0.68725000
0.13130000,0.68736000
0.13460000,0.68713000
0.13780000,0.68640000
0.14110000,0.68473000
0.14440000,0.68188000
0.14770000,0.67749000
0.15090000,0.67120000
0.15420000,0.66261000
0.15750000,0.65131000
0.16080000,0.63686000
0.16410000,0.61870000
0.16730000,0.59620000
0.17060000,0.56749000
0.17390000,0.53149000
0.17720000,0.48607000
0.18040000,0.42733000
