Efficiency vs Pressure ratio
Pressure ratio,Polytropic efficiency
Design point
2.90000000,0.70423000
10000[rpm]
1.05424000,0.64811000
1.05419000,0.65231000
1.05411000,0.65581000
1.05400000,0.65863000
1.05385000,0.66079000
1.05367000,0.66227000
1.05344000,0.66306000
1.05319000,0.66326000
1.05291000,0.66296000
1.05258000,0.66195000
1.05218000,0.65974000
1.05165000,0.65589000
1.05099000,0.65017000
1.05016000,0.64218000
1.04914000,0.63152000
1.04788000,0.61778000
1.04636000,0.60050000
1.04454000,0.57916000
1.04237000,0.55309000
1.03978000,0.52145000
1.03671000,0.48314000
1.03303000,0.43662000
1.02859000,0.37966000
1.02313000,0.30870000
1.01622000,0.21768000
15000[rpm]
1.12449000,0.65035000
1.12440000,0.65449000
1.12424000,0.65794000
1.12399000,0.66073000
1.12366000,0.66286000
1.12324000,0.66434000
1.12273000,0.66513000
1.12215000,0.66533000
1.12151000,0.66505000
1.12077000,0.66408000
1.11984000,0.66195000
1.11863000,0.65822000
1.11711000,0.65263000
1.11520000,0.64481000
1.11283000,0.63436000
1.10993000,0.62086000
1.10641000,0.60385000
1.10221000,0.58280000
1.09719000,0.55706000
1.09124000,0.52579000
1.08416000,0.48788000
1.07572000,0.44181000
1.06557000,0.38533000
1.05315000,0.31492000
1.03752000,0.22450000
20000[rpm]
1.22763000,0.65380000
1.22751000,0.65785000
1.22724000,0.66123000
1.22682000,0.66397000
1.22623000,0.66606000
1.22549000,0.66752000
1.22458000,0.66831000
1.22352000,0.66852000
1.22236000,0.66828000
1.22102000,0.66738000
1.21933000,0.66536000
1.21714000,0.66180000
1.21436000,0.65642000
1.21087000,0.64887000
1.20652000,0.63874000
1.20119000,0.62560000
1.19473000,0.60901000
1.18700000,0.58844000
1.17779000,0.56323000
1.16686000,0.53254000
1.15392000,0.49527000
1.13853000,0.44992000
1.12010000,0.39424000
1.09769000,0.32473000
1.06973000,0.23534000
25000[rpm]
1.36880000,0.65904000
1.36870000,0.66292000
1.36835000,0.66619000
1.36775000,0.66884000
1.36688000,0.67089000
1.36577000,0.67234000
1.36435000,0.67314000
1.36270000,0.67340000
1.36088000,0.67322000
1.35880000,0.67246000
1.35619000,0.67070000
1.35278000,0.66749000
1.34843000,0.66258000
1.34292000,0.65559000
1.33604000,0.64613000
1.32755000,0.63376000
1.31724000,0.61804000
1.30485000,0.59845000
1.29009000,0.57433000
1.27257000,0.54485000
1.25184000,0.50892000
1.22724000,0.46503000
1.19790000,0.41097000
1.16240000,0.34323000
1.11841000,0.25577000
30000[rpm]
1.55513000,0.66619000
1.55519000,0.66986000
1.55486000,0.67297000
1.55414000,0.67552000
1.55304000,0.67751000
1.55156000,0.67895000
1.54963000,0.67981000
1.54734000,0.68014000
1.54477000,0.68005000
1.54187000,0.67950000
1.53837000,0.67819000
1.53371000,0.67557000
1.52768000,0.67140000
1.51996000,0.66531000
1.51016000,0.65687000
1.49794000,0.64565000
1.48292000,0.63118000
1.46474000,0.61293000
