                     	 run on:           at:            by:       	 Model Author:           	 Thermo Used:       
ALL IN SI UNITS

        Conv  Iter       Mode     alt[m]         M0   Pamb[Pa]    Tamb[K]    Tt4_Tt2  Win[kg/s]  Wfuel[kg/s]  Wout[kg/s]      Fg[N]      Fn[N]       Fram        SFC  EtaThermal[%]    CmpH_Wc     HPC_PR    HPC_eff  HPC_effpoly     HPT_PR    HPT_eff  HPT_effPoly         N2    A0[cm2]         M0    Pt0[Pa]     Tt0[K]  A2In[cm2]  A2Out[cm2]  W2In[kg/s]  W2Out[kg/s]  rad2Hub[cm]  rad2Tip[cm]       M2In      M2Out  V2In[m/s]  V2Out[m/s]  Pt2In[Pa]  Pt2Out[Pa]   Tt2In[K]  Tt2Out[K]  cp2In[J/(kg*K)]  cp2Out[J/(kg*K)]     gam2In    gam2Out  R2In[J/(kg*K)]  R2Out[J/(kg*K)]  ht2In[J/kg]  ht2Out[J/kg]  A3ExhIn[cm2]  A3ExhOut[cm2]      M3Exh  V3Exh[m/s]  Pt3ExhIn[Pa]  Pt3ExhOut[Pa]  Tt3Exh[K]     cp3Exh    gam3Exh      R3Exh    dpqpExh    A3[cm2]  rad3Hub[cm]  rad3Tip[cm]         M3    Pt3[Pa]     Tt3[K]  A4Exh[cm2]      M4Exh  Pt4Exh[Pa]  Tt4Exh[K]     cp4Exh    gam4Exh      R4Exh  A4In[cm2]  A4Out[cm2]  W4In[kg/s]  W4Out[kg/s]  rad4Hub[cm]  rad4Tip[cm]       M4In      M4Out  V4In[m/s]  V4Out[m/s]  Pt4In[Pa]  Pt4Out[Pa]   Tt4In[K]  Tt4Out[K]  cp4In[J/(kg*K)]  cp4Out[J/(kg*K)]     gam4In    gam4Out  R4In[J/(kg*K)]  R4Out[J/(kg*K)]  ht4In[J/kg]  ht4Out[J/kg]  A5Exh[cm2]      M5Exh  Pt5Exh[Pa]  Tt5Exh[K]     cp5Exh    gam5Exh      R5Exh    A5[cm2]  rad5Hub[cm]  rad5Tip[cm]         M5    Pt5[Pa]     Tt5[K]  NozA[cm2]  radNoz[cm]      NozMN  PtNoz[Pa]   TtNoz[K]  VNoz[m/s]  PsNoz[Pa]   TsNoz[K]  BurnInW[kg/s]  BurnInht[J/kg]  BurnOuht[J/kg]  BurnOuW[kg/s] 
     0     1    22     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   3.78E-01    0.0042348    3.82E-01     99.996     99.996      0.000   1.52E-01          6.676   3.83E-01      2.500   7.90E-01     8.15E-01      1.995   6.90E-01     6.71E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.78E-01     3.78E-01        1.800        3.168   5.00E-01   3.00E-01    166.457     118.818  99804.985    2.50E+05    288.150    396.744         1010.832          1020.092      1.399      1.394         288.512          288.512     2.90E+05      4.01E+05        15.241         18.021   3.00E-01     118.818      2.50E+05       2.49E+05    396.744   1020.092      1.394    288.512   1.43E-03     18.021        1.800        2.996   2.50E-01   2.49E+05    396.744      28.569   2.50E-01    2.39E+05    864.449   1141.383      1.338    288.467     24.185      35.389    3.82E-01     3.82E-01        3.000        4.086   3.00E-01   4.00E-01    172.069     215.762   2.39E+05    1.20E+05    864.449    767.997         1141.383          1117.853      1.338      1.348         288.467          288.467     9.10E+05      8.01E+05      35.389   4.00E-01    1.20E+05    767.997   1117.853      1.348    288.467     35.746        3.000        4.514   4.00E-01   1.19E+05    767.997     30.589       3.120   4.89E-01   1.19E+05    767.997    261.939   1.01E+05    737.199        0.37753       400548.28       909949.84        0.38176 
     1     1     1  OFFDESIGN      0.000      0.000   1.01E+05    288.150      3.000   3.78E-01    0.0042348    3.82E-01     99.994     99.994      0.000   1.52E-01          6.676   3.83E-01      2.500   7.90E-01     8.15E-01      1.995   6.90E-01     6.71E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.78E-01     3.78E-01        1.800        3.168   5.00E-01   3.00E-01    166.464     118.822  99804.985    2.50E+05    288.150    396.744         1010.832          1020.092      1.399      1.394         288.512          288.512     2.90E+05      4.01E+05        15.241         18.021   3.00E-01     118.822      2.50E+05       2.49E+05    396.744   1020.092      1.394    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.49E+05    396.744      28.569   2.50E-01    2.39E+05    864.449   1141.383      1.338    288.467     24.185      35.389    3.82E-01     3.82E-01        3.000        4.086   3.00E-01   4.00E-01    172.090     215.771   2.39E+05    1.20E+05    864.449    767.997         1141.383          1117.853      1.338      1.348         288.467          288.467     9.10E+05      8.01E+05      35.389   4.00E-01    1.20E+05    767.997   1117.853      1.348    288.467     35.746        3.000        4.514   4.00E-01   1.19E+05    767.997     30.589       3.120   4.89E-01   1.19E+05    767.997    261.933   1.01E+05    737.200        0.37753       400548.28       909949.84        0.38176 
     2     1     3  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.967   3.69E-01    0.0040831    3.73E-01     95.001     95.001      0.000   1.55E-01          6.392   3.75E-01      2.431   7.92E-01     8.16E-01      1.955   6.91E-01     6.72E-01   9.30E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.69E-01     3.69E-01        1.800        3.168   4.85E-01   3.00E-01    161.620     118.314  99804.985    2.43E+05    288.150    392.766         1010.832          1019.647      1.399      1.395         288.512          288.512     2.90E+05      3.96E+05        15.241         18.021   3.00E-01     118.314      2.43E+05       2.42E+05    392.766   1019.647      1.395    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.42E+05    392.766      28.569   2.50E-01    2.33E+05    854.862   1138.872      1.339    288.468     24.185      35.389    3.73E-01     3.73E-01        3.000        4.086   3.00E-01   3.91E-01    171.127     210.139   2.33E+05    1.19E+05    854.862    761.768         1138.872          1116.006      1.339      1.349         288.468          288.468     8.99E+05      7.94E+05      35.389   3.91E-01    1.19E+05    761.768   1116.006      1.349    288.468     35.746        3.000        4.514   3.91E-01   1.18E+05    761.768     30.588       3.120   4.76E-01   1.18E+05    761.768    254.525   1.01E+05    732.646        0.36917       396491.28       898882.15        0.37326 
     3     1     4  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.934   3.60E-01    0.0039335    3.64E-01     89.995     89.995      0.000   1.57E-01          6.100   3.66E-01      2.360   7.94E-01     8.17E-01      1.913   6.92E-01     6.74E-01   9.13E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.60E-01     3.60E-01        1.800        3.168   4.69E-01   3.00E-01    156.661     117.726  99804.985    2.36E+05    288.150    388.623         1010.832          1019.175      1.399      1.395         288.512          288.512     2.90E+05      3.92E+05        15.241         18.021   3.00E-01     117.726      2.36E+05       2.35E+05    388.623   1019.175      1.395    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.35E+05    388.623      28.569   2.50E-01    2.26E+05    845.547   1136.431      1.340    288.468     24.185      35.389    3.64E-01     3.64E-01        3.000        4.086   3.00E-01   3.81E-01    170.183     204.410   2.26E+05    1.18E+05    845.547    755.975         1136.431          1114.288      1.340      1.349         288.468          288.468     8.88E+05      7.87E+05      35.389   3.81E-01    1.18E+05    755.975   1114.288      1.349    288.468     35.746        3.000        4.514   3.81E-01   1.17E+05    755.975     30.590       3.120   4.63E-01   1.17E+05    755.975    247.023   1.01E+05    728.507        0.36039       392267.02       888159.62        0.36433 
     4     1     5  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.902   3.51E-01    0.0037839    3.55E-01     85.002     85.002      0.000   1.60E-01          5.805   3.57E-01      2.287   7.95E-01     8.18E-01      1.868   6.93E-01     6.75E-01   8.95E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.51E-01     3.51E-01        1.800        3.168   4.54E-01   3.00E-01    151.638     117.078  99804.985    2.28E+05    288.150    384.293         1010.832          1018.671      1.399      1.395         288.512          288.512     2.90E+05      3.88E+05        15.241         18.021   3.00E-01     117.078      2.28E+05       2.28E+05    384.293   1018.671      1.395    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.28E+05    384.293      28.569   2.50E-01    2.19E+05    836.175   1133.970      1.341    288.469     24.185      35.389    3.55E-01     3.55E-01        3.000        4.086   3.00E-01   3.71E-01    169.227     198.533   2.19E+05    1.17E+05    836.175    750.313         1133.970          1112.610      1.341      1.350         288.469          288.469     8.77E+05      7.81E+05      35.389   3.71E-01    1.17E+05    750.313   1112.610      1.350    288.469     35.746        3.000        4.514   3.71E-01   1.16E+05    750.313     30.588       3.120   4.50E-01   1.16E+05    750.313    239.414   1.01E+05    724.477        0.35127       387855.02       877400.38        0.35505 
     5     1     4  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.870   3.42E-01    0.0036350    3.45E-01     79.999     79.999      0.000   1.64E-01          5.503   3.47E-01      2.212   7.97E-01     8.19E-01      1.821   6.94E-01     6.77E-01   8.76E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.42E-01     3.42E-01        1.800        3.168   4.38E-01   3.00E-01    146.504     116.354  99804.985    2.21E+05    288.150    379.760         1010.832          1018.133      1.399      1.395         288.512          288.512     2.90E+05      3.83E+05        15.241         18.021   3.00E-01     116.354      2.21E+05       2.20E+05    379.760   1018.133      1.395    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.20E+05    379.760      28.569   2.50E-01    2.12E+05    826.903   1131.531      1.342    288.470     24.185      35.389    3.45E-01     3.45E-01        3.000        4.086   3.00E-01   3.61E-01    168.278     192.510   2.12E+05    1.16E+05    826.903    744.944         1131.531          1111.020      1.342      1.351         288.470          288.470     8.67E+05      7.75E+05      35.389   3.61E-01    1.16E+05    744.944   1111.020      1.351    288.470     35.746        3.000        4.514   3.61E-01   1.15E+05    744.944     30.588       3.120   4.37E-01   1.15E+05    744.944    231.661   1.01E+05    720.724        0.34170       383238.51       866785.26        0.34534 
     6     1     4  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.839   3.32E-01    0.0034881    3.35E-01     75.003     75.003      0.000   1.67E-01          5.195   3.37E-01      2.135   7.99E-01     8.19E-01      1.772   6.95E-01     6.79E-01   8.55E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.32E-01     3.32E-01        1.800        3.168   4.21E-01   3.00E-01    141.238     115.538  99804.985    2.13E+05    288.150    375.051         1010.832          1017.562      1.399      1.396         288.512          288.512     2.90E+05      3.78E+05        15.241         18.021   3.00E-01     115.538      2.13E+05       2.13E+05    375.051   1017.562      1.396    288.512   1.44E-03     18.021        1.800        2.996   2.50E-01   2.13E+05    375.051      28.569   2.50E-01    2.04E+05    817.997   1129.185      1.343    288.470     24.185      35.389    3.35E-01     3.35E-01        3.000        4.086   2.99E-01   3.51E-01    167.361     186.380   2.04E+05    1.15E+05    817.997    740.130         1129.185          1109.594      1.343      1.351         288.470          288.470     8.57E+05      7.69E+05      35.389   3.51E-01    1.15E+05    740.130   1109.594      1.351    288.470     35.746        3.000        4.514   3.51E-01   1.14E+05    740.130     30.590       3.120   4.23E-01   1.14E+05    740.130    223.801   1.01E+05    717.500        0.33165       378445.53       856620.08        0.33514 
     7     1     4  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.810   3.21E-01    0.0033434    3.24E-01     70.001     70.001      0.000   1.72E-01          4.878   3.26E-01      2.055   8.01E-01     8.20E-01      1.719   6.96E-01     6.81E-01   8.33E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.21E-01     3.21E-01        1.800        3.168   4.04E-01   2.99E-01    135.772     114.589  99804.985    2.05E+05    288.150    370.071         1010.832          1016.946      1.399      1.396         288.512          288.512     2.90E+05      3.73E+05        15.241         18.021   2.99E-01     114.589      2.05E+05       2.05E+05    370.071   1016.946      1.396    288.512   1.43E-03     18.021        1.800        2.996   2.49E-01   2.05E+05    370.071      28.569   2.49E-01    1.97E+05    809.602   1126.976      1.344    288.470     24.185      35.389    3.24E-01     3.24E-01        3.000        4.086   2.99E-01   3.39E-01    166.496     180.099   1.97E+05    1.14E+05    809.602    736.091         1126.976          1108.398      1.344      1.352         288.470          288.470     8.47E+05      7.65E+05      35.389   3.39E-01    1.14E+05    736.091   1108.398      1.352    288.470     35.746        3.000        4.514   3.39E-01   1.13E+05    736.091     30.586       3.120   4.08E-01   1.13E+05    736.091    215.851   1.01E+05    715.022        0.32097       373379.55       847069.10        0.32432 
     8     1     6  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.789   3.09E-01    0.0032111    3.13E-01     65.000     65.000      0.000   1.78E-01          4.545   3.14E-01      1.973   8.03E-01     8.21E-01      1.663   6.96E-01     6.81E-01   8.08E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    3.09E-01     3.09E-01        1.800        3.168   3.87E-01   2.98E-01    129.935     113.341  99804.985    1.97E+05    288.150    364.799         1010.832          1016.283      1.399      1.396         288.512          288.512     2.90E+05      3.68E+05        15.241         18.021   2.98E-01     113.341      1.97E+05       1.97E+05    364.799   1016.283      1.396    288.512   1.42E-03     18.021        1.800        2.996   2.49E-01   1.97E+05    364.799      28.569   2.49E-01    1.89E+05    803.543   1125.435      1.345    288.471     24.185      35.389    3.13E-01     3.13E-01        3.000        4.086   2.99E-01   3.28E-01    165.859     173.920   1.89E+05    1.13E+05    803.543    734.713         1125.435          1107.990      1.345      1.352         288.471          288.471     8.40E+05      7.63E+05      35.389   3.28E-01    1.13E+05    734.713   1107.990      1.352    288.471     35.746        3.000        4.514   3.28E-01   1.12E+05    734.713     30.589       3.120   3.94E-01   1.12E+05    734.713    208.005   1.01E+05    715.144        0.30929       368019.43       840219.21        0.31250 
     9     1     6  OFFDESIGN      0.000      0.000   1.01E+05    288.150      2.776   2.97E-01    0.0030889    3.00E-01     60.000     60.000      0.000   1.85E-01          4.198   3.01E-01      1.888   8.05E-01     8.21E-01      1.604   6.94E-01     6.81E-01   7.81E-01   5.16E+09      0.000   1.01E+05    288.150     21.343      15.241    2.97E-01     2.97E-01        1.800        3.168   3.68E-01   2.96E-01    123.725     111.791  99804.985    1.88E+05    288.150    359.195         1010.832          1015.631      1.399      1.397         288.512          288.512     2.90E+05      3.62E+05        15.241         18.021   2.96E-01     111.791      1.88E+05       1.88E+05    359.195   1015.631      1.397    288.512   1.40E-03     18.021        1.800        2.996   2.47E-01   1.88E+05    359.195      28.569   2.49E-01    1.81E+05    799.854   1124.581      1.345    288.470     24.185      35.389    3.00E-01     3.00E-01        3.000        4.086   2.99E-01   3.16E-01    165.471     167.750   1.81E+05    1.13E+05    799.854    736.058         1124.581          1108.388      1.345      1.352         288.470          288.470     8.36E+05      7.65E+05      35.389   3.16E-01    1.13E+05    736.058   1108.388      1.352    288.470     35.746        3.000        4.514   3.16E-01   1.11E+05    736.058     30.588       3.120   3.78E-01   1.11E+05    736.058    200.236   1.01E+05    717.933        0.29657       362325.93       836095.21        0.29966 
