                     	 run on:           at:            by:       	 Model Author:           	 Thermo Used:       
ALL IN SI UNITS

        Conv  Iter       Mode     alt[m]         M0   Pamb[Pa]    Tamb[K]    Tt4_Tt2  Win[kg/s]  Wfuel[kg/s]  Wout[kg/s]      Fg[N]      Fn[N]       Fram        SFC  EtaThermal[%]    CmpH_Wc     HPC_PR    HPC_eff  HPC_effpoly     HPT_PR    HPT_eff  HPT_effPoly         N2    A0[cm2]         M0    Pt0[Pa]     Tt0[K]    A2[cm2]  W2In[kg/s]  W2Out[kg/s]  rad2Hub[cm]  rad2Tip[cm]         M2  V2In[m/s]  V2Out[m/s]  Pt2In[Pa]  Pt2Out[Pa]   Tt2In[K]  Tt2Out[K]  cp2In[J/(kg*K)]  cp2Out[J/(kg*K)]     gam2In    gam2Out  R2In[J/(kg*K)]  R2Out[J/(kg*K)]  ht2In[J/kg]  ht2Out[J/kg]  A3ExhIn[cm2]  A3ExhOut[cm2]      M3Exh  V3Exh[m/s]  Pt3ExhIn[Pa]  Pt3ExhOut[Pa]  Tt3Exh[K]     cp3Exh    gam3Exh      R3Exh    dpqpExh    A3[cm2]  rad3Hub[cm]  rad3Tip[cm]         M3    Pt3[Pa]     Tt3[K]  A4Exh[cm2]      M4Exh  Pt4Exh[Pa]  Tt4Exh[K]     cp4Exh    gam4Exh      R4Exh    A4[cm2]  rad4Hub[cm]  rad4Tip[cm]         M4    Pt4[Pa]     Tt4[K]  A5Exh[cm2]      M5Exh  Pt5Exh[Pa]  Tt5Exh[K]     cp5Exh    gam5Exh      R5Exh    A5[cm2]  rad5Hub[cm]  rad5Tip[cm]         M5    Pt5[Pa]     Tt5[K]  NozA[cm2]  radNoz[cm]      NozMN  PtNoz[Pa]   TtNoz[K]  VNoz[m/s]  PsNoz[Pa]   TsNoz[K]  BurnInW[kg/s]  BurnInht[J/kg]  BurnOuht[J/kg]  BurnOuW[kg/s] 
     0     1    24     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.00E-01    0.0051524    5.05E-01    100.002    100.002      0.000   1.85E-01          4.145   5.08E-01      3.000   7.10E-01     7.50E-01      2.535   7.25E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     33.568    5.00E-01     5.00E-01        1.800        3.732   4.00E-01    134.315     132.697  99804.985    2.99E+05    288.150    436.726         1010.832          1025.609      1.399      1.391         288.512          288.512     2.90E+05      4.41E+05        16.691         25.970   3.20E-01     132.697      2.99E+05       2.97E+05    436.726   1025.609      1.391    288.512   8.67E-03     25.970        1.800        3.392   2.00E-01   2.97E+05    436.726      39.171   2.00E-01    2.85E+05    864.449   1139.827      1.339    288.471     20.972        3.000        3.959   4.00E-01   2.85E+05    864.449      54.453   3.50E-01    1.12E+05    731.372   1107.001      1.352    288.471     55.003        3.000        5.149   3.50E-01   1.11E+05    731.372     51.905       4.065   3.75E-01   1.11E+05    731.372    197.855   1.01E+05    713.654        0.50030       441436.42       909137.65        0.50545 
     1     1    36     DESIGN      0.000      0.000   1.01E+05    288.150      3.000      1.192    0.0107891       1.203    100.004    100.004      0.000   3.88E-01       8.32E-01      1.210      4.100   6.98E-01     7.50E-01      3.738   7.35E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     80.002       1.192        1.192        1.800        5.358   4.00E-01    134.315     140.447  99804.985    4.09E+05    288.150    490.746         1010.832          1034.826      1.399      1.387         288.512          288.512     2.90E+05      4.97E+05        30.905         48.087   3.20E-01     140.447      4.09E+05       4.06E+05    490.746   1034.826      1.387    288.512   8.68E-03     48.087        1.800        4.307   2.00E-01   4.06E+05    490.746      68.204   2.00E-01    3.89E+05    864.449   1137.703      1.340    288.476     36.517        3.000        4.541   4.00E-01   3.89E+05    864.449     134.678   3.50E-01    1.04E+05    680.755   1092.069      1.359    288.476    136.038        3.000        7.232   3.50E-01   1.03E+05    680.755    279.169       9.427   1.61E-01   1.03E+05    680.755     83.139   1.01E+05    677.589        1.19233       497086.54       908030.39        1.20312 
     2     1    33     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   9.71E-01    0.0088843    9.80E-01     99.995     99.995      0.000   3.20E-01          1.241   9.85E-01      4.000   6.99E-01     7.50E-01      3.615   7.35E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     65.128    9.71E-01     9.71E-01        1.800        4.896   4.00E-01    134.315     139.824  99804.985    3.99E+05    288.150    486.267         1010.832          1033.956      1.399      1.387         288.512          288.512     2.90E+05      4.92E+05        25.666         39.936   3.20E-01     139.824      3.99E+05       3.96E+05    486.267   1033.956      1.387    288.512   8.67E-03     39.936        1.800        3.994   2.00E-01   3.96E+05    486.267      56.919   2.00E-01    3.80E+05    864.449   1137.880      1.340    288.475     30.475        3.000        4.324   4.00E-01   3.80E+05    864.449     109.044   3.50E-01    1.05E+05    685.004   1093.312      1.358    288.475    110.145        3.000        6.638   3.50E-01   1.04E+05    685.004    185.807       7.691   1.98E-01   1.04E+05    685.004    102.098   1.01E+05    680.234        0.97066       492452.79       908122.71        0.97955 
     3     1    23     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   8.42E-01    0.0077957    8.50E-01     99.994     99.994      0.000   2.81E-01          1.630   8.55E-01      3.900   7.00E-01     7.50E-01      3.495   7.34E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     56.495    8.42E-01     8.42E-01        1.800        4.607   4.00E-01    134.315     139.186  99804.985    3.89E+05    288.150    481.713         1010.832          1033.102      1.399      1.387         288.512          288.512     2.90E+05      4.88E+05        22.724         35.358   3.20E-01     139.186      3.89E+05       3.86E+05    481.713   1033.102      1.387    288.512   8.66E-03     35.358        1.800        3.807   2.00E-01   3.86E+05    481.713      50.646   2.00E-01    3.70E+05    864.449   1138.060      1.339    288.475     27.116        3.000        4.199   4.00E-01   3.70E+05    864.449      94.108   3.50E-01    1.06E+05    689.314   1094.576      1.358    288.475     95.059        3.000        6.266   3.50E-01   1.05E+05    689.314    140.413       6.685   2.27E-01   1.05E+05    689.314    117.682   1.01E+05    682.983        0.84200       487745.33       908216.48        0.84979 
     4     1    22     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   7.56E-01    0.0070836    7.63E-01     99.992     99.992      0.000   2.55E-01          1.996   7.68E-01      3.800   7.01E-01     7.50E-01      3.377   7.33E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     50.746    7.56E-01     7.56E-01        1.800        4.404   4.00E-01    134.315     138.534  99804.985    3.79E+05    288.150    477.080         1010.832          1032.267      1.399      1.388         288.512          288.512     2.90E+05      4.83E+05        20.845         32.435   3.20E-01     138.534      3.79E+05       3.76E+05    477.080   1032.267      1.388    288.512   8.70E-03     32.435        1.800        3.683   2.00E-01   3.76E+05    477.080      46.697   2.00E-01    3.61E+05    864.449   1138.243      1.339    288.475     25.002        3.000        4.118   4.00E-01   3.61E+05    864.449      84.136   3.50E-01    1.07E+05    693.688   1095.862      1.357    288.475     84.986        3.000        6.004   3.50E-01   1.06E+05    693.688    113.794       6.018   2.53E-01   1.06E+05    693.688    130.995   1.01E+05    685.852        0.75631       482960.71       908311.76        0.76339 
     5     1    12     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   6.94E-01    0.0065739    7.00E-01     99.997     99.997      0.000   2.37E-01          2.345   7.04E-01      3.700   7.02E-01     7.50E-01      3.263   7.32E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     46.551    6.94E-01     6.94E-01        1.800        4.249   4.00E-01    134.315     137.865  99804.985    3.69E+05    288.150    472.365         1010.832          1031.450      1.399      1.388         288.512          288.512     2.90E+05      4.78E+05        19.538         30.401   3.20E-01     137.865      3.69E+05       3.66E+05    472.365   1031.450      1.388    288.512   8.68E-03     30.401        1.800        3.594   2.00E-01   3.66E+05    472.365      44.000   2.00E-01    3.51E+05    864.449   1138.428      1.339    288.474     23.558        3.000        4.062   4.00E-01   3.51E+05    864.449      76.845   3.50E-01    1.08E+05    698.130   1097.171      1.357    288.474     77.621        3.000        5.806   3.50E-01   1.07E+05    698.130     96.191       5.533   2.75E-01   1.07E+05    698.130    142.789   1.01E+05    688.828        0.69379       478095.23       908408.64        0.70037 
     6     1    15     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   6.46E-01    0.0061935    6.52E-01     99.992     99.992      0.000   2.23E-01          2.672   6.56E-01      3.600   7.03E-01     7.50E-01      3.151   7.31E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     43.349    6.46E-01     6.46E-01        1.800        4.128   4.00E-01    134.315     137.181  99804.985    3.59E+05    288.150    467.564         1010.832          1030.653      1.399      1.389         288.512          288.512     2.90E+05      4.73E+05        18.601         28.944   3.20E-01     137.181      3.59E+05       3.56E+05    467.564   1030.653      1.389    288.512   8.68E-03     28.944        1.800        3.529   2.00E-01   3.56E+05    467.564      42.117   2.00E-01    3.42E+05    864.449   1138.617      1.339    288.474     22.549        3.000        4.022   4.00E-01   3.42E+05    864.449      71.276   3.50E-01    1.09E+05    702.642   1098.504      1.356    288.474     71.996        3.000        5.650   3.50E-01   1.07E+05    702.642     83.811       5.165   2.95E-01   1.07E+05    702.642    153.311   1.01E+05    691.930        0.64606       473144.88       908507.18        0.65226 
     7     1    18     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   6.08E-01    0.0059021    6.14E-01     99.998     99.998      0.000   2.12E-01          2.977   6.18E-01      3.500   7.04E-01     7.50E-01      3.042   7.30E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     40.827    6.08E-01     6.08E-01        1.800        4.029   4.00E-01    134.315     136.481  99804.985    3.49E+05    288.150    462.673         1010.832          1029.863      1.399      1.389         288.512          288.512     2.90E+05      4.68E+05        17.923         27.888   3.20E-01     136.481      3.49E+05       3.46E+05    462.673   1029.863      1.389    288.512   8.69E-03     27.888        1.800        3.481   2.00E-01   3.46E+05    462.673      40.807   2.00E-01    3.32E+05    864.449   1138.810      1.339    288.473     21.848        3.000        3.994   4.00E-01   3.32E+05    864.449      66.895   3.50E-01    1.09E+05    707.227   1099.859      1.355    288.473     67.571        3.000        5.523   3.50E-01   1.08E+05    707.227     74.706       4.876   3.12E-01   1.08E+05    707.227    162.769   1.01E+05    695.166        0.60849       468105.41       908607.48        0.61439 
     8     1    15     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.78E-01    0.0056727    5.84E-01    100.000    100.000      0.000   2.04E-01          3.260   5.87E-01      3.400   7.05E-01     7.50E-01      2.936   7.29E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     38.780    5.78E-01     5.78E-01        1.800        3.948   4.00E-01    134.315     135.763  99804.985    3.39E+05    288.150    457.688         1010.832          1029.055      1.399      1.390         288.512          288.512     2.90E+05      4.63E+05        17.427         27.116   3.20E-01     135.763      3.39E+05       3.36E+05    457.688   1029.055      1.390    288.512   8.67E-03     27.116        1.800        3.445   2.00E-01   3.36E+05    457.688      39.905   2.00E-01    3.23E+05    864.449   1139.005      1.339    288.473     21.365        3.000        3.975   4.00E-01   3.23E+05    864.449      63.345   3.50E-01    1.10E+05    711.890   1101.238      1.355    288.473     63.985        3.000        5.419   3.50E-01   1.09E+05    711.890     67.741       4.644   3.28E-01   1.09E+05    711.890    171.347   1.01E+05    698.538        0.57797       462973.13       908709.60        0.58364 
     9     1     9     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.53E-01    0.0054909    5.58E-01    100.009    100.009      0.000   1.98E-01          3.522   5.61E-01      3.300   7.06E-01     7.50E-01      2.832   7.28E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     37.093    5.53E-01     5.53E-01        1.800        3.879   4.00E-01    134.315     135.026  99804.985    3.29E+05    288.150    452.605         1010.832          1028.226      1.399      1.390         288.512          288.512     2.90E+05      4.58E+05        17.076         26.569   3.20E-01     135.026      3.29E+05       3.27E+05    452.605   1028.226      1.390    288.512   8.63E-03     26.569        1.800        3.420   2.00E-01   3.27E+05    452.605      39.330   2.00E-01    3.13E+05    864.449   1139.205      1.339    288.472     21.057        3.000        3.963   4.00E-01   3.13E+05    864.449      60.431   3.50E-01    1.11E+05    716.632   1102.640      1.354    288.472     61.042        3.000        5.332   3.50E-01   1.10E+05    716.632     62.297       4.453   3.42E-01   1.10E+05    716.632    179.134   1.01E+05    702.056        0.55283       457744.32       908813.62        0.55832 
    10     1    10     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.32E-01    0.0053500    5.38E-01    100.005    100.005      0.000   1.93E-01          3.754   5.40E-01      3.200   7.07E-01     7.50E-01      2.730   7.27E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     35.710    5.32E-01     5.32E-01        1.800        3.822   4.00E-01    134.315     134.271  99804.985    3.19E+05    288.150    447.420         1010.832          1027.377      1.399      1.390         288.512          288.512     2.90E+05      4.52E+05        16.854         26.224   3.20E-01     134.271      3.19E+05       3.17E+05    447.420   1027.377      1.390    288.512   8.69E-03     26.224        1.800        3.404   2.00E-01   3.17E+05    447.420      39.056   2.00E-01    3.04E+05    864.449   1139.408      1.339    288.472     20.910        3.000        3.957   4.00E-01   3.04E+05    864.449      58.064   3.50E-01    1.11E+05    721.457   1104.067      1.354    288.472     58.651        3.000        5.260   3.50E-01   1.10E+05    721.457     58.060       4.299   3.54E-01   1.10E+05    721.457    186.039   1.01E+05    705.755        0.53222       452414.94       908919.61        0.53757 
    11     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.15E-01    0.0052381    5.20E-01    100.000    100.000      0.000   1.89E-01          3.963   5.23E-01      3.100   7.09E-01     7.50E-01      2.631   7.26E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     34.544    5.15E-01     5.15E-01        1.800        3.773   4.00E-01    134.315     133.495  99804.985    3.09E+05    288.150    442.129         1010.832          1026.505      1.399      1.391         288.512          288.512     2.90E+05      4.47E+05        16.727         26.027   3.20E-01     133.495      3.09E+05       3.07E+05    442.129   1026.505      1.391    288.512   8.70E-03     26.027        1.800        3.395   2.00E-01   3.07E+05    442.129      39.005   2.00E-01    2.94E+05    864.449   1139.615      1.339    288.471     20.883        3.000        3.956   4.00E-01   2.94E+05    864.449      56.086   3.50E-01    1.12E+05    726.369   1105.521      1.353    288.471     56.652        3.000        5.199   3.50E-01   1.11E+05    726.369     54.643       4.171   3.65E-01   1.11E+05    726.369    192.287   1.01E+05    709.614        0.51484       446980.58       909027.66        0.52008 
    12     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.00E-01    0.0051530    5.06E-01    100.001    100.001      0.000   1.86E-01          4.144   5.08E-01      3.000   7.10E-01     7.50E-01      2.535   7.25E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     33.572    5.00E-01     5.00E-01        1.800        3.732   4.00E-01    134.315     132.697  99804.985    2.99E+05    288.150    436.726         1010.832          1025.609      1.399      1.391         288.512          288.512     2.90E+05      4.41E+05        16.693         25.973   3.20E-01     132.697      2.99E+05       2.97E+05    436.726   1025.609      1.391    288.512   8.70E-03     25.973        1.800        3.392   2.00E-01   2.97E+05    436.726      39.177   2.00E-01    2.85E+05    864.449   1139.827      1.339    288.471     20.975        3.000        3.959   4.00E-01   2.85E+05    864.449      54.461   3.50E-01    1.12E+05    731.372   1107.001      1.352    288.471     55.011        3.000        5.149   3.50E-01   1.11E+05    731.372     51.917       4.065   3.75E-01   1.11E+05    731.372    197.831   1.01E+05    713.659        0.50035       441436.42       909137.82        0.50551 
