Name,P1 - Max Iterations,P2 - Base Duty Speed [rev min^-1],P3 - Mass Flow [kg s^-1],P4 - Percent Speed,P5 - Max Iterations,P6 - baseSpeed [radian s^-1],P7 - massflow [kg s^-1],P8 - percentSpeed,P9 - Current Time Step,P10 - Isentropic Efficiency (t-t),P11 - P0 Ratio (t-t),P12 - T0 Ratio (t-t),P13 - Mass Flow [kg s^-1]
DP 0,200,80000,0.284,100,200,8377.580409,0.284,100,94,87.1217,4.08609,1.58113,0.284
DP 1,200,80000,0.3124,100,200,8377.580409,0.3124,100,44,87.4396,3.94975,1.56249,0.3124
DP 2,200,80000,0.3029,100,200,8377.580409,0.3029,100,43,87.5128,4.01584,1.57001,0.3029
DP 3,200,80000,0.2935,100,200,8377.580409,0.2935,100,44,87.4354,4.06288,1.57616,0.2935
DP 4,200,80000,0.284,100,200,8377.580409,0.284,100,94,87.1217,4.08609,1.58113,0.284
DP 5,200,80000,0.2745,100,200,8377.580409,0.2745,100,76,86.4237,4.06649,1.58225,0.2745
DP 6,200,80000,0.2651,100,200,8377.580409,0.2651,100,84,85.3334,3.97568,1.57731,0.2651
DP 7,200,80000,0.2556,100,200,8377.580409,0.2556,100,106,84.3826,3.89656,1.57241,0.2556
DP 8,200,80000,0.2982,95,200,8377.580409,0.2982,95,69,88.1263,3.51567,1.50155,0.2982
DP 9,200,80000,0.2887,95,200,8377.580409,0.2887,95,64,88.1883,3.57207,1.50901,0.2887
DP 10,200,80000,0.2793,95,200,8377.580409,0.2793,95,62,88.1118,3.61693,1.51533,0.2793
DP 11,200,80000,0.2698,95,200,8377.580409,0.2698,95,60,87.8751,3.65049,1.52084,0.2698
DP 12,200,80000,0.2603,95,200,8377.580409,0.2603,95,64,87.3507,3.65908,1.52452,0.2603
DP 13,200,80000,0.2509,95,200,8377.580409,0.2509,95,79,86.3485,3.60839,1.5232,0.2509
DP 14,200,80000,0.2414,95,200,8377.580409,0.2414,95,107,85.3232,3.54251,1.51933,0.2414
DP 15,200,80000,0.284,90,200,8377.580409,0.284,90,66,88.7567,3.14956,1.44517,0.284
DP 16,200,80000,0.2745,90,200,8377.580409,0.2745,90,66,88.8184,3.19131,1.45177,0.2745
DP 17,200,80000,0.2651,90,200,8377.580409,0.2651,90,68,88.7687,3.22975,1.45794,0.2651
DP 18,200,80000,0.2556,90,200,8377.580409,0.2556,90,71,88.5837,3.26328,1.46366,0.2556
DP 19,200,80000,0.2461,90,200,8377.580409,0.2461,90,78,88.1776,3.2853,1.4685,0.2461
